--------------+----------------------------------------------
 Host IP      | 127.0.1.1
 PyTorch      | 2.4.0a0+git4451b0e
 Torch-SDAA   | 2.0.0
--------------+----------------------------------------------
 SDAA Driver  | 2.2.0b2 (N/A)
 SDAA Runtime | 2.0.0 (/opt/tecoai/lib64/libsdaart.so)
 SDPTI        | 1.3.1 (/opt/tecoai/lib64/libsdpti.so)
 TecoDNN      | 2.0.0 (/opt/tecoai/lib64/libtecodnn.so)
 TecoBLAS     | 2.0.0 (/opt/tecoai/lib64/libtecoblas.so)
 CustomDNN    | 1.22.0 (/opt/tecoai/lib64/libtecodnn_ext.so)
 TecoRAND     | 1.8.0 (/opt/tecoai/lib64/libtecorand.so)
 TCCL         | 1.21.0 (/opt/tecoai/lib64/libtccl.so)
--------------+----------------------------------------------
/root/miniconda3/envs/torch_env_py310/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:216: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
/root/miniconda3/envs/torch_env_py310/lib/python3.10/site-packages/torch/utils/_device.py:79: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /home/local_ci_env/workspace/torch-sdaa-build_pt2.4.0/torch/include/ATen/native/IndexingUtils.h:27.)
  return func(*args, **kwargs)
/root/miniconda3/envs/torch_env_py310/lib/python3.10/site-packages/torch/utils/_device.py:79: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /root/pytorch/aten/src/ATen/native/IndexingUtils.h:27.)
  return func(*args, **kwargs)
/root/miniconda3/envs/torch_env_py310/lib/python3.10/site-packages/torch/autograd/graph.py:768: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /root/pytorch/aten/src/ATen/native/IndexingUtils.h:27.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
==========Options============
num_workers: 0
batch_size: 2
max_epoch: 200
start_epoch: 0
lr: 0.0001
cuda: True
n_disk: 15
output_dir: output
input_size: 512
max_annotation: 200
max_points: 20
use_hard: True
tr_thresh: 0.6
tcl_thresh: 0.4
post_process_expand: 0.3
post_process_merge: False
exp_name: total-text
net: vgg
dataset: total-text
resume: None
mgpu: False
save_dir: ./save/
vis_dir: ./vis/
log_dir: ./logs/
loss: CrossEntropyLoss
input_channel: 1
pretrain: False
verbose: True
viz: True
start_iter: 0
lr_adjust: fix
stepvalues: []
weight_decay: 0.0
gamma: 0.1
momentum: 0.9
optim: SGD
display_freq: 50
viz_freq: 50
save_freq: 10
log_freq: 100
val_freq: 100
rescale: 255.0
means: [0.485, 0.456, 0.406]
stds: [0.229, 0.224, 0.225]
checkepoch: -1
img_root: None
device: cuda
=============End=============
Start training TextSnake.
Epoch: 0 : LR = 0.0001
(85 / 628) - Loss: 2.9971
(86 / 628) - Loss: 2.4498
(87 / 628) - Loss: 2.6044
(88 / 628) - Loss: 3.3506
(89 / 628) - Loss: 3.4659
(90 / 628) - Loss: 3.1327
(91 / 628) - Loss: 3.4702
(92 / 628) - Loss: 3.2895
(93 / 628) - Loss: 3.2763
(94 / 628) - Loss: 3.3192
(95 / 628) - Loss: 3.3175
(96 / 628) - Loss: 2.8415
(97 / 628) - Loss: 3.2673
(98 / 628) - Loss: 3.5630
(99 / 628) - Loss: 3.3389
(100 / 628) - Loss: 2.8635
(101 / 628) - Loss: 2.4436
(102 / 628) - Loss: 2.8830
(103 / 628) - Loss: 3.1250
(104 / 628) - Loss: 2.4011
(105 / 628) - Loss: 2.3687
(106 / 628) - Loss: 2.5793
(107 / 628) - Loss: 2.8137
(108 / 628) - Loss: 2.3497
(109 / 628) - Loss: 2.4127
(110 / 628) - Loss: 2.8301
(111 / 628) - Loss: 2.9856
(112 / 628) - Loss: 2.1645
(113 / 628) - Loss: 3.0735
(114 / 628) - Loss: 3.2613
(115 / 628) - Loss: 3.0864
(116 / 628) - Loss: 2.6380
(117 / 628) - Loss: 3.3086
(118 / 628) - Loss: 3.1558
(119 / 628) - Loss: 3.5585
(120 / 628) - Loss: 2.4139
(121 / 628) - Loss: 3.1128
(122 / 628) - Loss: 3.2502
(123 / 628) - Loss: 3.0114
(124 / 628) - Loss: 3.5386
(125 / 628) - Loss: 3.3464
(126 / 628) - Loss: 3.2295
(127 / 628) - Loss: 3.2514
(128 / 628) - Loss: 3.3844
(129 / 628) - Loss: 3.5555
(130 / 628) - Loss: 2.9143
(131 / 628) - Loss: 3.4398
(132 / 628) - Loss: 2.6373
(133 / 628) - Loss: 2.5983
(134 / 628) - Loss: 2.9268
(135 / 628) - Loss: 3.5676
(136 / 628) - Loss: 3.2150
(137 / 628) - Loss: 2.3436
(138 / 628) - Loss: 3.2422
(139 / 628) - Loss: 2.2318
(140 / 628) - Loss: 2.4176
(141 / 628) - Loss: 2.6615
(142 / 628) - Loss: 2.9234
(143 / 628) - Loss: 2.2219
(144 / 628) - Loss: 2.4985
(145 / 628) - Loss: 3.4985
(146 / 628) - Loss: 2.7068
(147 / 628) - Loss: 2.4773
(148 / 628) - Loss: 3.4137
(149 / 628) - Loss: 3.0830
(150 / 628) - Loss: 3.3631
(151 / 628) - Loss: 2.3703
(152 / 628) - Loss: 2.1740
(153 / 628) - Loss: 3.4368
(154 / 628) - Loss: 2.5383
(155 / 628) - Loss: 3.2477
(156 / 628) - Loss: 3.0119
(157 / 628) - Loss: 2.2900
(158 / 628) - Loss: 2.5013
(159 / 628) - Loss: 3.5354
(160 / 628) - Loss: 3.5629
(161 / 628) - Loss: 2.6272
(162 / 628) - Loss: 2.9554
(163 / 628) - Loss: 2.5039
(164 / 628) - Loss: 2.2524
(165 / 628) - Loss: 3.1228
(166 / 628) - Loss: 2.2305
(167 / 628) - Loss: 3.5145
(168 / 628) - Loss: 2.4049
(169 / 628) - Loss: 2.5833
(170 / 628) - Loss: 3.1432
(171 / 628) - Loss: 3.2291
(172 / 628) - Loss: 3.3307
(173 / 628) - Loss: 2.2366
(174 / 628) - Loss: 3.5822
(175 / 628) - Loss: 3.2983
(176 / 628) - Loss: 2.0962
(177 / 628) - Loss: 3.5122
(178 / 628) - Loss: 3.3045
(179 / 628) - Loss: 2.8147
(180 / 628) - Loss: 3.1010
(181 / 628) - Loss: 3.2142
(182 / 628) - Loss: 2.4699
(183 / 628) - Loss: 2.1711
(184 / 628) - Loss: 2.2259
(185 / 628) - Loss: 3.4256
(186 / 628) - Loss: 3.0362
(187 / 628) - Loss: 2.2287
(188 / 628) - Loss: 3.0456
(189 / 628) - Loss: 3.5339
(190 / 628) - Loss: 2.6986
(191 / 628) - Loss: 3.3168
(192 / 628) - Loss: 2.1459
(193 / 628) - Loss: 3.4926
(194 / 628) - Loss: 3.5507
(195 / 628) - Loss: 2.3256
(196 / 628) - Loss: 2.3861
(197 / 628) - Loss: 3.1437
(198 / 628) - Loss: 2.6608
(199 / 628) - Loss: 3.2756
(200 / 628) - Loss: 3.3055
(201 / 628) - Loss: 2.3397
(202 / 628) - Loss: 2.3439
(203 / 628) - Loss: 2.1974
(204 / 628) - Loss: 3.4065
(205 / 628) - Loss: 2.3282
(206 / 628) - Loss: 3.4607
(207 / 628) - Loss: 2.8851
(208 / 628) - Loss: 2.2306
(209 / 628) - Loss: 2.3784
(210 / 628) - Loss: 3.4924
(211 / 628) - Loss: 3.1531
(212 / 628) - Loss: 3.3542
(213 / 628) - Loss: 3.4903
(214 / 628) - Loss: 2.2220
(215 / 628) - Loss: 3.4619
(216 / 628) - Loss: 3.0277
(217 / 628) - Loss: 2.4630
(218 / 628) - Loss: 2.2762
(219 / 628) - Loss: 2.5999
(220 / 628) - Loss: 2.3082
(221 / 628) - Loss: 3.3490
(222 / 628) - Loss: 2.4582
(223 / 628) - Loss: 3.1846
(224 / 628) - Loss: 3.2799
(225 / 628) - Loss: 3.4570
(226 / 628) - Loss: 2.8925
(227 / 628) - Loss: 3.1681
(228 / 628) - Loss: 2.3371
(229 / 628) - Loss: 2.4860
(230 / 628) - Loss: 2.6563
(231 / 628) - Loss: 2.4564
(232 / 628) - Loss: 3.5142
(233 / 628) - Loss: 2.2752
(234 / 628) - Loss: 3.4839
(235 / 628) - Loss: 3.0890
(236 / 628) - Loss: 3.5426
(237 / 628) - Loss: 2.7343
(238 / 628) - Loss: 3.4033
(239 / 628) - Loss: 3.2878
(240 / 628) - Loss: 3.4170
(241 / 628) - Loss: 2.6933
(242 / 628) - Loss: 2.9118
(243 / 628) - Loss: 2.1009
(244 / 628) - Loss: 3.0751
(245 / 628) - Loss: 2.4284
(246 / 628) - Loss: 2.3098
(247 / 628) - Loss: 3.3021
(248 / 628) - Loss: 2.6131
(249 / 628) - Loss: 3.4462
(250 / 628) - Loss: 2.2259
(251 / 628) - Loss: 3.3863
(252 / 628) - Loss: 3.1840
(253 / 628) - Loss: 2.6002
(254 / 628) - Loss: 0.6988
(255 / 628) - Loss: 2.1023
(256 / 628) - Loss: 3.0752
(257 / 628) - Loss: 2.6511
(258 / 628) - Loss: 3.2061
(259 / 628) - Loss: 2.9908
(260 / 628) - Loss: 3.3597
(261 / 628) - Loss: 3.3002
(262 / 628) - Loss: 3.5644
(263 / 628) - Loss: 3.2254
(264 / 628) - Loss: 2.3344
(265 / 628) - Loss: 2.2669
(266 / 628) - Loss: 3.4361
(267 / 628) - Loss: 2.8749
(268 / 628) - Loss: 2.1137
(269 / 628) - Loss: 2.2553
(270 / 628) - Loss: 2.8429
(271 / 628) - Loss: 2.2612
(272 / 628) - Loss: 2.6142
(273 / 628) - Loss: 3.4432
(274 / 628) - Loss: 2.1688
(275 / 628) - Loss: 2.1581
(276 / 628) - Loss: 2.2959
(277 / 628) - Loss: 2.4635
(278 / 628) - Loss: 3.5156
(279 / 628) - Loss: 3.3278
(280 / 628) - Loss: 3.4370
(281 / 628) - Loss: 2.5658
(282 / 628) - Loss: 2.0536
(283 / 628) - Loss: 2.3945
(284 / 628) - Loss: 3.4794
(285 / 628) - Loss: 2.1811
(286 / 628) - Loss: 3.3679
(287 / 628) - Loss: 3.3918
(288 / 628) - Loss: 3.2784
(289 / 628) - Loss: 2.8010
(290 / 628) - Loss: 2.4828
(291 / 628) - Loss: 2.3356
(292 / 628) - Loss: 3.1866
(293 / 628) - Loss: 2.2770
(294 / 628) - Loss: 2.3583
(295 / 628) - Loss: 3.3586
(296 / 628) - Loss: 2.1636
(297 / 628) - Loss: 2.2111
(298 / 628) - Loss: 2.6310
(299 / 628) - Loss: 3.3988
(300 / 628) - Loss: 2.3337
(301 / 628) - Loss: 2.4310
(302 / 628) - Loss: 2.9771
(303 / 628) - Loss: 3.1145
(304 / 628) - Loss: 2.5701
(305 / 628) - Loss: 3.3089
(306 / 628) - Loss: 2.2433
(307 / 628) - Loss: 3.4423
(308 / 628) - Loss: 3.5408
(309 / 628) - Loss: 3.0350
(310 / 628) - Loss: 3.4474
(311 / 628) - Loss: 2.2544
(312 / 628) - Loss: 3.4374
(313 / 628) - Loss: 2.4488
(314 / 628) - Loss: 3.0419
(315 / 628) - Loss: 2.6714
(316 / 628) - Loss: 3.3276
(317 / 628) - Loss: 2.9022
(318 / 628) - Loss: 2.5829
(319 / 628) - Loss: 3.3521
(320 / 628) - Loss: 3.1444
(321 / 628) - Loss: 2.1843
(322 / 628) - Loss: 3.1772
(323 / 628) - Loss: 3.6376
(324 / 628) - Loss: 2.8481
(325 / 628) - Loss: 3.4877
(326 / 628) - Loss: 3.4579
(327 / 628) - Loss: 3.5282
(328 / 628) - Loss: 3.4356
(329 / 628) - Loss: 3.4335
(330 / 628) - Loss: 3.3414
(331 / 628) - Loss: 2.1537
(332 / 628) - Loss: 2.7023
(333 / 628) - Loss: 2.1671
(334 / 628) - Loss: 3.3964
(335 / 628) - Loss: 3.1296
(336 / 628) - Loss: 2.2704
(337 / 628) - Loss: 2.9427
(338 / 628) - Loss: 2.1470
(339 / 628) - Loss: 3.0823
(340 / 628) - Loss: 3.1472
(341 / 628) - Loss: 2.7258
(342 / 628) - Loss: 3.4456
(343 / 628) - Loss: 2.4289
(344 / 628) - Loss: 2.6291
(345 / 628) - Loss: 3.2130
(346 / 628) - Loss: 2.1353
(347 / 628) - Loss: 3.5762
(348 / 628) - Loss: 2.8275
(349 / 628) - Loss: 2.1268
(350 / 628) - Loss: 3.4582
(351 / 628) - Loss: 2.2172
(352 / 628) - Loss: 3.0235
(353 / 628) - Loss: 2.8606
(354 / 628) - Loss: 3.4947
(355 / 628) - Loss: 3.0784
(356 / 628) - Loss: 2.1856
(357 / 628) - Loss: 3.0047
(358 / 628) - Loss: 2.4277
(359 / 628) - Loss: 2.3025
(360 / 628) - Loss: 2.5884
(361 / 628) - Loss: 3.3210
(362 / 628) - Loss: 3.2352
(363 / 628) - Loss: 2.5363
(364 / 628) - Loss: 2.1013
(365 / 628) - Loss: 2.1147
(366 / 628) - Loss: 2.3573
(367 / 628) - Loss: 2.7572
(368 / 628) - Loss: 2.4924
(369 / 628) - Loss: 3.3661
(370 / 628) - Loss: 2.4111
(371 / 628) - Loss: 3.2771
(372 / 628) - Loss: 2.1204
(373 / 628) - Loss: 2.6021
(374 / 628) - Loss: 2.9846
(375 / 628) - Loss: 2.1222
(376 / 628) - Loss: 2.1399
(377 / 628) - Loss: 2.1176
(378 / 628) - Loss: 3.4863
(379 / 628) - Loss: 3.5106
(380 / 628) - Loss: 3.4911
(381 / 628) - Loss: 2.3183
(382 / 628) - Loss: 2.1339
(383 / 628) - Loss: 3.4552
(384 / 628) - Loss: 3.4220
(385 / 628) - Loss: 3.4226
(386 / 628) - Loss: 2.2753
(387 / 628) - Loss: 2.3174
(388 / 628) - Loss: 3.2403
(389 / 628) - Loss: 2.2836
(390 / 628) - Loss: 2.2646
(391 / 628) - Loss: 3.5041
(392 / 628) - Loss: 2.4233
(393 / 628) - Loss: 3.0650
(394 / 628) - Loss: 2.3111
(395 / 628) - Loss: 2.2047
(396 / 628) - Loss: 3.4390
(397 / 628) - Loss: 3.3836
(398 / 628) - Loss: 2.6163
(399 / 628) - Loss: 2.4524
(400 / 628) - Loss: 2.2902
(401 / 628) - Loss: 3.5211
(402 / 628) - Loss: 2.1531
(403 / 628) - Loss: 3.3252
(404 / 628) - Loss: 3.2403
(405 / 628) - Loss: 2.1346
(406 / 628) - Loss: 2.1031
(407 / 628) - Loss: 2.0840
(408 / 628) - Loss: 3.4982
(409 / 628) - Loss: 3.5216
(410 / 628) - Loss: 2.1681
(411 / 628) - Loss: 2.1019
(412 / 628) - Loss: 2.2511
(413 / 628) - Loss: 2.2802
(414 / 628) - Loss: 2.2736
(415 / 628) - Loss: 3.5488
(416 / 628) - Loss: 2.0837
(417 / 628) - Loss: 2.1121
(418 / 628) - Loss: 2.0297
(419 / 628) - Loss: 2.9503
(420 / 628) - Loss: 2.1244
(421 / 628) - Loss: 2.5504
(422 / 628) - Loss: 2.5100
(423 / 628) - Loss: 2.2033
(424 / 628) - Loss: 2.0715
(425 / 628) - Loss: 3.0691
(426 / 628) - Loss: 2.3319
(427 / 628) - Loss: 2.4926
(428 / 628) - Loss: 3.4507
(429 / 628) - Loss: 3.4562
(430 / 628) - Loss: 2.5707
(431 / 628) - Loss: 2.1766
(432 / 628) - Loss: 3.3373
(433 / 628) - Loss: 3.1502
(434 / 628) - Loss: 2.1710
(435 / 628) - Loss: 2.7278
(436 / 628) - Loss: 3.4321
(437 / 628) - Loss: 3.4506
(438 / 628) - Loss: 3.3801
(439 / 628) - Loss: 2.9798
(440 / 628) - Loss: 3.1257
(441 / 628) - Loss: 2.5256
(442 / 628) - Loss: 2.5982
(443 / 628) - Loss: 2.1960
(444 / 628) - Loss: 2.9801
(445 / 628) - Loss: 2.1077
(446 / 628) - Loss: 2.6523
(447 / 628) - Loss: 2.1481
(448 / 628) - Loss: 3.6081
(449 / 628) - Loss: 2.2001
(450 / 628) - Loss: 2.4004
(451 / 628) - Loss: 3.4803
(452 / 628) - Loss: 2.8712
(453 / 628) - Loss: 3.1289
(454 / 628) - Loss: 3.2822
(455 / 628) - Loss: 3.2669
(456 / 628) - Loss: 3.3794
(457 / 628) - Loss: 3.1457
(458 / 628) - Loss: 2.0872
(459 / 628) - Loss: 3.4329
(460 / 628) - Loss: 2.3984
(461 / 628) - Loss: 3.2422
(462 / 628) - Loss: 2.7788
(463 / 628) - Loss: 2.7178
(464 / 628) - Loss: 2.9084
(465 / 628) - Loss: 2.3127
(466 / 628) - Loss: 2.0927
(467 / 628) - Loss: 3.5155
(468 / 628) - Loss: 3.2249
(469 / 628) - Loss: 3.3039
(470 / 628) - Loss: 2.2355
(471 / 628) - Loss: 2.0855
(472 / 628) - Loss: 3.4620
(473 / 628) - Loss: 2.1125
(474 / 628) - Loss: 2.6866
(475 / 628) - Loss: 2.3117
(476 / 628) - Loss: 3.2489
(477 / 628) - Loss: 2.5431
(478 / 628) - Loss: 2.2722
(479 / 628) - Loss: 2.2277
(480 / 628) - Loss: 2.4515
(481 / 628) - Loss: 2.1991
(482 / 628) - Loss: 3.0191
(483 / 628) - Loss: 3.4623
(484 / 628) - Loss: 2.3130
(485 / 628) - Loss: 2.2405
(486 / 628) - Loss: 2.8217
(487 / 628) - Loss: 2.9736
(488 / 628) - Loss: 3.5269
(489 / 628) - Loss: 3.0015
(490 / 628) - Loss: 3.4781
(491 / 628) - Loss: 2.4605
(492 / 628) - Loss: 2.6184
(493 / 628) - Loss: 2.9673
(494 / 628) - Loss: 2.0766
(495 / 628) - Loss: 2.9557
(496 / 628) - Loss: 2.6467
(497 / 628) - Loss: 2.6261
(498 / 628) - Loss: 2.7407
(499 / 628) - Loss: 3.4079
(500 / 628) - Loss: 3.3210
(501 / 628) - Loss: 2.1161
(502 / 628) - Loss: 3.3042
(503 / 628) - Loss: 3.5002
(504 / 628) - Loss: 3.4243
(505 / 628) - Loss: 2.0887
(506 / 628) - Loss: 2.5256
(507 / 628) - Loss: 3.1088
(508 / 628) - Loss: 2.1151
(509 / 628) - Loss: 2.6376
(510 / 628) - Loss: 3.1821
(511 / 628) - Loss: 2.0938
(512 / 628) - Loss: 3.5253
(513 / 628) - Loss: 2.9299
(514 / 628) - Loss: 3.5850
(515 / 628) - Loss: 2.2232
(516 / 628) - Loss: 2.2245
(517 / 628) - Loss: 2.1435
(518 / 628) - Loss: 3.5147
(519 / 628) - Loss: 2.2284
(520 / 628) - Loss: 2.0917
(521 / 628) - Loss: 2.2097
(522 / 628) - Loss: 2.1258
(523 / 628) - Loss: 3.3371
(524 / 628) - Loss: 3.1803
(525 / 628) - Loss: 2.5252
(526 / 628) - Loss: 2.5617
(527 / 628) - Loss: 2.4327
(528 / 628) - Loss: 3.5126
(529 / 628) - Loss: 3.4264
(530 / 628) - Loss: 2.5121
(531 / 628) - Loss: 2.0810
(532 / 628) - Loss: 2.8600
(533 / 628) - Loss: 3.3989
(534 / 628) - Loss: 2.6425
(535 / 628) - Loss: 2.1866
(536 / 628) - Loss: 3.0603
(537 / 628) - Loss: 3.4963
(538 / 628) - Loss: 3.3584
(539 / 628) - Loss: 2.1449
(540 / 628) - Loss: 2.2987
(541 / 628) - Loss: 3.4364
(542 / 628) - Loss: 3.2215
(543 / 628) - Loss: 2.2803
(544 / 628) - Loss: 2.3071
(545 / 628) - Loss: 2.1354
(546 / 628) - Loss: 2.8934
(547 / 628) - Loss: 2.2602
(548 / 628) - Loss: 2.1679
(549 / 628) - Loss: 3.4597
(550 / 628) - Loss: 3.4891
(551 / 628) - Loss: 3.3049
(552 / 628) - Loss: 2.9798
(553 / 628) - Loss: 0.6945
(554 / 628) - Loss: 3.0235
(555 / 628) - Loss: 2.0864
(556 / 628) - Loss: 3.4622
(557 / 628) - Loss: 2.7375
(558 / 628) - Loss: 2.5109
(559 / 628) - Loss: 2.2537
(560 / 628) - Loss: 2.7485
(561 / 628) - Loss: 3.4569
(562 / 628) - Loss: 2.2340
(563 / 628) - Loss: 2.8460
(564 / 628) - Loss: 2.6631
(565 / 628) - Loss: 3.5308
(566 / 628) - Loss: 2.2445
(567 / 628) - Loss: 2.0324
(568 / 628) - Loss: 2.4370
(569 / 628) - Loss: 2.2085
(570 / 628) - Loss: 2.2988
(571 / 628) - Loss: 2.0035
(572 / 628) - Loss: 3.4658
(573 / 628) - Loss: 2.8280
(574 / 628) - Loss: 2.6794
(575 / 628) - Loss: 2.8048
(576 / 628) - Loss: 2.7264
(577 / 628) - Loss: 2.4319
/root/miniconda3/envs/torch_env_py310/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:525: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  _warn_get_lr_called_within_step(self)
